U:x,Points: x,Points: y,u_t,U+,y+ 
0.10569,1.99,4.29E-05,1.92E-01,0.5497,0.549644014
0.10844,1.75,4.29E-05,1.95E-01,0.5567,0.556766609
0.1116,1.5,4.29E-05,1.98E-01,0.5648,0.564824936
0.11492,1.99,4.29E-05,2.01E-01,0.5731,0.573156121
0.11789,1.75,4.29E-05,2.03E-01,0.5805,0.580525012
0.1213,1.5,4.29E-05,2.06E-01,0.5888,0.588874248
0.1245,1.99,4.29E-05,2.09E-01,0.5966,0.596557416
0.12769,1.75,4.29E-05,2.11E-01,0.6041,0.604171888
0.13136,1.5,4.29E-05,2.14E-01,0.6127,0.61281128
0.13443,1.99,4.29E-05,2.17E-01,0.6199,0.619879689
0.13784,1.75,4.29E-05,2.20E-01,0.6277,0.627736607
0.14179,1.5,4.29E-05,2.23E-01,0.6366,0.636662822
0.14469,1.99,4.29E-05,2.25E-01,0.6431,0.643117085
0.14835,1.75,4.29E-05,2.28E-01,0.6512,0.651214561
0.15257,1.5,4.29E-05,2.31E-01,0.6604,0.660425072
0.12433,1.99,5.51E-05,1.84E-01,0.6756,0.67559404
0.12758,1.75,5.51E-05,1.86E-01,0.6843,0.684422198
0.13133,1.5,5.51E-05,1.89E-01,0.6943,0.694394567
0.13574,1.99,5.51E-05,1.92E-01,0.7059,0.705917864
0.13926,1.75,5.51E-05,1.95E-01,0.715,0.715065543
0.14332,1.5,5.51E-05,1.98E-01,0.7253,0.725415
0.1476,1.99,5.51E-05,2.01E-01,0.7361,0.736114894
0.1514,1.75,5.51E-05,2.03E-01,0.7455,0.745578895
0.15579,1.5,5.51E-05,2.06E-01,0.7562,0.756301973
0.1599,1.99,5.51E-05,2.09E-01,0.7662,0.766169605
0.16399,1.75,5.51E-05,2.11E-01,0.7759,0.775949011
0.16871,1.5,5.51E-05,2.14E-01,0.787,0.78704474
0.17265,1.99,5.51E-05,2.17E-01,0.7962,0.796122827
0.17703,1.75,5.51E-05,2.20E-01,0.8061,0.806213612
0.1821,1.5,5.51E-05,2.23E-01,0.8176,0.817677713
0.18583,1.99,5.51E-05,2.25E-01,0.826,0.825967041
0.19052,1.75,5.51E-05,2.28E-01,0.8363,0.836366777
0.19594,1.5,5.51E-05,2.31E-01,0.8481,0.848196005
0.15618,1.99,6.92E-05,1.84E-01,0.8487,0.848709723
0.16026,1.75,6.92E-05,1.86E-01,0.8596,0.859800027
0.16497,1.5,6.92E-05,1.89E-01,0.8722,0.872327737
0.17052,1.99,6.92E-05,1.92E-01,0.8868,0.886803789
0.17494,1.75,6.92E-05,1.95E-01,0.8982,0.898295489
0.18004,1.5,6.92E-05,1.98E-01,0.9112,0.911296913
